abbey {1>a|b>bb|i0>ey
aeroplane E1>ae|r>r|@U0>o|p>p|l>l|EI1>a|n>ne
afghanistan {0>a|f>f|g>gh|{1>a|n>n|I0>i|s>s|t>t|{2>a|n>n
africa {1>a|f>f|r>r|I0>i|k>c|V0>a
afternoon {2>a|f>f|t>t|r=0>er|n>n|u1>oo|n>n
age EI1>a|dZ>ge
agency EI1>a|dZ>g|E0>e|n>n|s>c|i0>y
agent EI1>a|dZ>g|E0>e|n>n|t>t
agnes {1>a|g>g|n>n|I0>e|s>s
agony {1>a|g>g|V0>o|n>n|i0>y
agreement V0>a|g>g|r>r|i1>ee|m>m|E0>e|n>n|t>t
agriculture {1>a|g>g|r>r|I0>i|k>c|V2>u|l>l|tS>t|r=0>ure
aid EI1>ai|d>d
aide EI1>ai|d>de
aikido AI1>ai|k>k|i0>i|d>d|@U0>o
aim EI1>ai|m>m
air E1>ai|r>r
airbus E1>ai|r>r|b>b|V0>u|s>s
airconditioner E1>ai|r>r|k>c|V0>o|n>n|d>d|I1>i|S>ti|V0>o|n>n|r=0>er
aircraft E1>ai|r>r|k>c|r>r|{2>a|f>f|t>t
airdrome E1>ai|r>r|d>d|r>r|@U2>o|m>me
airfield E1>ai|r>r|f>f|i2>ie|l>l|d>d
airline E1>ai|r>r|l>l|AI2>i|n>ne
airplane E1>ai|r>r|p>p|l>l|EI2>a|n>ne
airport E1>ai|r>r|p>p|O2>o|r>r|t>t
airship E1>ai|r>r|S>sh|I2>i|p>p
al {1>a|l>l
alabama {2>a|l>l|V0>a|b>b|{1>a|m>m|V0>a
alan {1>a|l>l|V0>a|n>n
alarm V0>a|l>l|A1>a|r>r|m>m
alaska V0>a|l>l|{1>a|s>s|k>k|V0>a
albany O1>a|l>l|b>b|V0>a|n>n|i0>y
albert {1>a|l>l|b>b|r=0>er|t>t
album {1>a|l>l|b>b|V0>u|m>m
alert V0>a|l>l|r=1>er|t>t
alex {1>a|l>l|E0>e|k;s>x
alexander {2>a|l>l|I0>e|g;z>x|{1>a|n>n|d>d|r=0>er
alfred {1>a|l>l|f>f|r>r|I0>e|d>d
algae {1>a|l>l|dZ>g|i0>ae
ali A1>a|l>l|i0>i
alice {1>a|l>l|I0>i|s>ce
alien EI1>a|l>l|i0>i|V0>e|n>n
allah A1>a|l>ll|V0>ah
allan {1>a|l>ll|V0>a|n>n
allen {1>a|l>ll|E0>e|n>n
allergy {1>a|l>ll|r=0>er|dZ>g|i0>y
alley {1>a|l>ll|i0>ey
alliance V0>a|l>ll|AI1>i|V0>a|n>n|s>ce
alligator {1>a|l>ll|I0>i|g>g|EI2>a|t>t|r=0>or
alloy {1>a|l>ll|OI2>oy
ally V0>a|l>ll|AI1>y
almond A1>al|m>m|V0>o|n>n|d>d
alpaca {1>a|l>l|p>p|A1>a|k>c|V1>a
alpha {1>a|l>l|f>ph|V0>a
alphabet {1>a|l>l|f>ph|V0>a|b>b|E2>e|t>t
altar O1>a|l>l|t>t|r=0>ar
alternative O0>a|l>l|t>t|r=1>er|n>n|V0>a|t>t|I0>i|v>ve
aluminum V0>a|l>l|u1>u|m>m|I0>i|n>n|V0>u|m>m
ambassador {0>a|m>m|b>b|{1>a|s>ss|V0>a|d>d|r=0>or
ambition {0>a|m>m|b>b|I1>i|S>ti|V0>o|n>n
ambulance {1>a|m>m|b>b|j;V0>u|l>l|V0>a|n>n|s>ce
america V0>a|m>m|E1>e|r>r|I0>i|k>c|V0>a
amos EI1>a|m>m|V0>o|s>s
amount V0>a|m>m|aU1>ou|n>n|t>t
amplifier {1>a|m>m|p>p|l>l|I0>i|f>f|AI2>i|r=0>er
amsterdam {1>a|m>m|s>s|t>t|r=0>er|d>d|{2>a|m>m
amy EI1>a|m>m|i0>y
ana {1>a|n>n|V0>a
anaconda {2>a|n>n|V0>a|k>c|A1>o|n>n|d>d|V0>a
analysis V0>a|n>n|{1>a|l>l|I0>y|s>s|I0>i|s>s
analyst {1>a|n>n|V0>a|l>l|I0>y|s>s|t>t
ancestor {1>a|n>n|s>c|E2>e|s>s|t>t|r=0>or
anchor {1>a|n>n|k>ch|r=0>or
anderson {1>a|n>n|d>d|r=0>er|s>s|V0>o|n>n
andre A1>a|n>n|d>d|r>r|EI2>e
andrew {1>a|n>n|d>d|r>r|u0>ew
android {1>a|n>n|d>d|r>r|OI2>oi|d>d
andy {1>a|n>n|d>d|i0>y
anemia V0>a|n>n|i1>e|m>m|i0>i|V0>a
angel EI1>a|n>n|dZ>g|E0>e|l>l
angela {1>a|n>n|dZ>g|E0>e|l>l|V0>a
anger {1>a|n>n|g>g|r=0>er
angle {1>a|n>n|g>g|V0;l>le
animal {1>a|n>n|I0>i|m>m|V0>a|l>l
ankle {1>a|n>n|k>k|V0;l>le
ann {1>a|n>nn
anna {1>a|n>nn|V0>a
anne {1>a|n>nne
annie {1>a|n>nn|i0>ie
answer {1>a|n>n|s>s|r=0>wer
ant {1>a|n>n|t>t
antarctica {2>a|n>n|t>t|A1>a|r>r|k>c|t>t|I0>i|k>c|V0>a
anteater {1>a|n>n|t>t|i1>ea|t>t|r=0>er
antelope {1>a|n>n|t>t|E0>e|l>l|@U2>o|p>pe
antenna {0>a|n>n|t>t|E1>e|n>nn|V0>a
anthony {1>a|n>n|T>th|V0>o|n>n|i0>y
anthropology {2>a|n>n|T>th|r>r|V0>o|p>p|A1>o|l>l|V0>o|dZ>g|i0>y
antibiotic {2>a|n>n|t>t|AI0>i|b>b|AI0>i|A1>o|t>t|I0>i|k>c
antibody {1>a|n>n|t>t|I0>i|b>b|A2>o|d>d|i0>y
antigen {1>a|n>n|t>t|I0>i|dZ>g|E0>e|n>n
anxiety {0>a|n>n|z>x|AI1>i|E0>e|t>t|i0>y
anybody E1>a|n>n|i0>y|b>b|V0>o|d>d|i0>y
anyone E1>a|n>n|i0>y|w;V0>o|n>ne
anything E1>a|n>n|i0>y|T>th|I2>i|N>ng
apartment V0>a|p>p|A1>a|r>r|t>t|m>m|E0>e|n>n|t>t
ape EI1>a|p>pe
apex EI1>a|p>p|E2>e|k;s>x
apology V0>a|p>p|A1>o|l>l|V0>o|dZ>g|i0>y
apostle V0>a|p>p|A1>o|s>st|V0;l>le
app {1>a|p>pp
apparel V0>a|p>pp|{1>a|r>r|E0>e|l>l
appeal V0>a|p>pp|i1>ea|l>l
appearance V0>a|p>pp|I1>ea|r>r|V0>a|n>n|s>ce
appendix V0>a|p>pp|E1>e|n>n|d>d|I0>i|k;s>x
apple {1>a|p>pp|V0;l>le
appliance V0>a|p>pp|l>l|AI1>i|V0>a|n>n|s>ce
application {2>a|p>pp|l>l|I0>i|k>c|EI1>a|S>ti|V0>o|n>n
approach V0>a|p>pp|r>r|@U1>oa|tS>ch
apricot EI1>a|p>p|r>r|I0>i|k>c|A2>o|t>t
april EI1>a|p>p|r>r|I0>i|l>l
apron EI1>a|p>p|r>r|V0>o|n>n
aqualung {1>a|k>q|w>u|V0>a|l>l|V1>u|N>ng
aquarium V0>a|k>q|w>u|E1>a|r>r|i0>i|V0>u|m>m
aquatic V0>a|k>q|w>u|A1>a|t>t|I0>i|k>c
arab {1>a|r>r|V0>a|b>b
arabia r=0>ar|EI1>a|b>b|i0>i|V0>a
arachnid r=0>ar|{1>a|k>ch|n>n|I0>i|d>d
arbor A1>a|r>r|b>b|r=0>or
arc A1>a|r>r|k>c
arch A1>a|r>r|tS>ch
archbishop A1>a|r>r|tS>ch|b>b|I1>i|S>sh|V0>o|p>p
archduke A1>a|r>r|tS>ch|d>d|u2>u|k>ke
architect A1>a|r>r|k>ch|I0>i|t>t|E2>e|k>c|t>t
archive A1>a|r>r|k>ch|AI2>i|v>ve
archosaur A1>a|r>r|k>ch|V0>o|s>s|O2>au|r>r
arctic A1>a|r>r|k>c|t>t|I0>i|k>c
arcticfox A1>a|r>r|k>c|t>t|I0>i|k>c|f>f|A1>o|k;s>x
area E1>a|r>r|i0>e|V0>a
arena r=0>ar|i1>e|n>n|V0>a
argentina A2>a|r>r|dZ>g|E0>e|n>n|t>t|i1>i|n>n|V0>a
argument A1>a|r>r|g>g|j;V0>u|m>m|E0>e|n>n|t>t
aristocrat r=0>ar|I1>i|s>s|t>t|V0>o|k>c|r>r|{2>a|t>t
aristocrate r=0>ar|I1>i|s>s|t>t|V0>o|k>c|r>r|EI2>a|t>te
arizona E2>a|r>r|I0>i|z>z|@U1>o|n>n|V0>a
ark A1>a|r>r|k>k
arkansas A1>a|r>r|k>k|V0>a|n>n|s>s|A2>as
arm A1>a|r>r|m>m
armadillo A2>a|r>r|m>m|V0>a|d>d|I1>i|l>ll|@U0>o
armament A1>a|r>r|m>m|V0>a|m>m|E0>e|n>n|t>t
armchair A1>a|r>r|m>m|tS>ch|E2>ai|r>r
armor A1>a|r>r|m>m|r=0>or
armour A1>a|r>r|m>m|r=0>our
armstrong A1>a|r>r|m>m|s>s|t>t|r>r|A2>o|N>ng
army A1>a|r>r|m>m|i0>y
arnold A1>a|r>r|n>n|V0>o|l>l|d>d
array r=0>arr|EI1>ay
arrest r=0>arr|E1>e|s>s|t>t
arrival r=0>arr|AI1>i|v>v|V0>a|l>l
arrow E1>a|r>rr|@U0>ow
arrows E1>a|r>rr|@U0>ow|z>s
art A1>a|r>r|t>t
artery A1>a|r>r|t>t|r=0>er|i0>y
arthropod A1>a|r>r|T>th|r>r|V0>o|p>p|A2>o|d>d
arthur A1>a|r>r|T>th|r=0>ur
article A1>a|r>r|t>t|I0>i|k>c|V0;l>le
artifact A1>a|r>r|t>t|I0>i|f>f|{2>a|k>c|t>t
artificer A2>a|r>r|t>t|i0>i|f>f|i1>i|s>c|r=0>er
artillery A0>a|r>r|t>t|I1>i|l>ll|r=0>er|i0>y
artisan A1>a|r>r|t>t|I0>i|z>s|V0>a|n>n
artist A1>a|r>r|t>t|I0>i|s>s|t>t
ash {1>a|S>sh
asia EI1>a|Z>si|V0>a
aspect {1>a|s>s|p>p|E2>e|k>c|t>t
aspirin {1>a|s>s|p>p|r>ir|I0>i|n>n
assembly V0>a|s>ss|E1>e|m>m|b>b|l>l|i0>y
assessment V0>a|s>ss|E1>e|s>ss|m>m|E0>e|n>n|t>t
assistance V0>a|s>ss|I1>i|s>s|t>t|V0>a|n>n|s>ce
assistant V0>a|s>ss|I1>i|s>s|t>t|V0>a|n>n|t>t
association V0>a|s>ss|@U2>o|s>c|i0>i|EI1>a|S>ti|V0>o|n>n
asteroid {1>a|s>s|t>t|r=0>er|OI2>oi|d>d
asthma {1>a|z>s|m>thm|V0>a
astronaut {1>a|s>s|t>t|r>r|V0>o|n>n|A2>au|t>t
astronomer V0>a|s>s|t>t|r>r|A1>o|n>n|V0>o|m>m|r=0>er
asylum V0>a|s>s|AI1>y|l>l|V0>u|m>m
athens {1>a|T>th|E0>e|n>n|z>s
athlete {1>a|T>th|l>l|i2>e|t>te
athletics {0>a|T>th|l>l|E1>e|t>t|I0>i|k>c|s>s
atlanta {0>a|t>t|l>l|{1>a|n>n|t>t|V0>a
atlantic V0>a|t>t|l>l|{1>a|n>n|t>t|I0>i|k>c
atlas {1>a|t>t|l>l|V0>a|s>s
atm {1>a|t>t|m>m
atmosphere {1>a|t>t|m>m|V0>o|s>s|f>ph|I2>e|r>re
atom {1>a|t>t|V0>o|m>m
attack V0>a|t>tt|{1>a|k>ck
attempt V0>a|t>tt|E1>e|m>m|p>p|t>t
attention V0>a|t>tt|E1>e|n>n|S>ti|V0>o|n>n
attic {1>a|t>tt|I0>i|k>c
attitude {1>a|t>tt|I0>i|t>t|u2>u|d>de
attorney V0>a|t>tt|r=1>or|n>n|i0>ey
aubergine @U1>au|b>b|r=0>er|dZ>g|I2>i|n>ne
auction O1>au|k>c|S>ti|V0>o|n>n
audience O1>au|d>d|i0>i|E0>e|n>n|s>ce
audio A1>au|d>d|i0>i|@U2>o
august O1>au|g>g|V0>u|s>s|t>t
aunt O1>au|n>n|t>t
aura O1>au|r>r|V0>a
austin O1>au|s>s|t>t|I0>i|n>n
australia O0>au|s>s|t>t|r>r|EI1>a|l>l|j>i|V0>a
austria O1>au|s>s|t>t|r>r|i0>i|V0>a
author O1>au|T>th|r=0>or
authority V0>au|T>th|O1>o|r>r|I0>i|t>t|i0>y
auto O1>au|t>t|@U0>o
autobus O2>au|t>t|@U0>o|b>b|V1>u|s>s
automobile O1>au|t>t|V0>o|m>m|@U0>o|b>b|i2>i|l>le
autumn O1>au|t>t|V0>u|m>mn
avenue {1>a|v>v|E0>e|n>n|u2>ue
average {1>a|v>ve|r>r|V0>a|dZ>ge
aviation EI2>a|v>v|i0>i|EI1>a|S>ti|V0>o|n>n
avocado {2>a|v>v|V0>o|k>c|A1>a|d>d|@U0>o
award V0>a|w>w|O1>a|r>r|d>d
awareness V0>a|w>w|E1>a|r>re|n>n|E0>e|s>ss
awe O1>awe
ax {1>a|k;s>x
axe {1>a|k;s>xe
axis {1>a|k;s>x|I0>i|s>s
babe b>b|EI1>a|b>be
baboon b>b|V0>a|b>b|u1>oo|n>n
baby b>b|EI1>a|b>b|i0>y
babystroller b>b|EI1>a|b>b|i0>y|s>s|t>t|r>r|@U1>o|l>ll|r=0>er
backgammon b>b|{1>a|k>ck|g>g|{2>a|m>mm|V0>o|n>n
background b>b|{1>a|k>ck|g>g|r>r|aU2>ou|n>n|d>d
backpack b>b|{1>a|k>ck|p>p|{2>a|k>ck
bacon b>b|EI1>a|k>c|V0>o|n>n
bacteria b>b|{0>a|k>c|t>t|I1>e|r>r|i0>i|V0>a
bacterium b>b|{0>a|k>c|t>t|I1>e|r>r|i0>i|V0>u|m>m
badger b>b|{1>a|dZ>dg|r=0>er
bag b>b|{1>a|g>g
bagel b>b|EI1>a|g>g|E0>e|l>l
baggage b>b|{1>a|g>gg|V0>a|dZ>ge
baguette b>b|{1>a|g>g|E0>ue|t>tte
bail b>b|EI1>ai|l>l
bailey b>b|EI1>ai|l>l|i0>ey
bait b>b|EI1>ai|t>t
bake b>b|EI1>a|k>ke
baker b>b|EI1>a|k>k|r=0>er
bakery b>b|EI1>a|k>k|r=0>er|i0>y
baking b>b|EI1>a|k>k|I0>i|N>ng
balance b>b|{1>a|l>l|V0>a|n>n|s>ce
ball b>b|O1>a|l>ll
ballet b>b|{0>a|l>ll|EI1>et
balloon b>b|V0>a|l>ll|u1>oo|n>n
baltimore b>b|O1>a|l>l|t>t|I0>i|m>m|O2>o|r>re
bamboo b>b|{0>a|m>m|b>b|u1>oo
ban b>b|{1>a|n>n
banana b>b|V0>a|n>n|{1>a|n>n|V0>a
band b>b|{1>a|n>n|d>d
bandage b>b|{1>a|n>n|d>d|V0>a|dZ>ge
bandaid b>b|{1>a|n>n|d>d|EI2>ai|d>d
bandwidth b>b|{1>a|n>n|d>d|w>w|I0>i|d>d|T>th
bang b>b|{1>a|N>ng
banjo b>b|{1>a|n>n|dZ>j|@U2>o
bank b>b|{1>a|n>n|k>k
banker b>b|{1>a|n>n|k>k|r=0>er
banner b>b|{1>a|n>nn|r=0>er
baptist b>b|{1>a|p>p|t>t|I0>i|s>s|t>t
bar b>b|A1>a|r>r
barbara b>b|A1>a|r>r|b>b|r=0>ar|V0>a
barbecue b>b|A1>a|r>r|b>b|I0>e|k>c|j;u2>ue
barber b>b|A1>a|r>r|b>b|r=0>er
bargain b>b|A1>a|r>r|g>g|V0>ai|n>n
bark b>b|A1>a|r>r|k>k
barley b>b|A1>a|r>r|l>l|i0>ey
barn b>b|A1>a|r>r|n>n
baron b>b|{1>a|r>r|V0>o|n>n
barrel b>b|E1>a|r>rr|E0>e|l>l
barry b>b|E1>a|r>rr|i0>y
base b>b|EI1>a|s>se
baseball b>b|EI1>a|s>se|b>b|O1>a|l>ll
basement b>b|EI1>a|s>se|m>m|E0>e|n>n|t>t
basil b>b|{1>a|z>s|I0>i|l>l
basin b>b|EI1>a|s>s|I0>i|n>n
basis b>b|EI1>a|s>s|I0>i|s>s
basket b>b|{1>a|s>s|k>k|E0>e|t>t
basketball b>b|{1>a|s>s|k>k|E0>e|t>t|b>b|O2>a|l>ll
bass b>b|{1>a|s>ss
bat b>b|{1>a|t>t
batch b>b|{1>a|tS>tch
bath b>b|{1>a|T>th
bathrobe b>b|{1>a|T>th|r>r|@U2>o|b>be
bathroom b>b|{1>a|T>th|r>r|u2>oo|m>m
bathtub b>b|{1>a|T>th|t>t|V0>u|b>b
batman b>b|{1>a|t>t|m>m|{2>a|n>n
battery b>b|{1>a|t>tt|r=0>er|i0>y
battle b>b|{1>a|t>tt|V0;l>le
battleship b>b|{1>a|t>tt|V0;l>le|S>sh|I2>i|p>p
bay b>b|EI1>ay
beach b>b|i1>ea|tS>ch
beacon b>b|i1>ea|k>c|V0>o|n>n
bead b>b|i1>ea|d>d
beads b>b|i1>ea|d>d|z>s
beam b>b|i1>ea|m>m
bean b>b|i1>ea|n>n
bear b>b|E1>ea|r>r
beard b>b|I1>ea|r>r|d>d
bearing b>b|E1>ea|r>r|I0>i|N>ng
beast b>b|i1>ea|s>s|t>t
beat b>b|i1>ea|t>t
beauty b>b|j>ea|u1>u|t>t|i0>y
beaver b>b|i1>ea|v>v|r=0>er
beck b>b|E1>e|k>ck
bed b>b|E1>e|d>d
bedbug b>b|E1>e|d>d|b>b|V2>u|g>g
bedroom b>b|E1>e|d>d|r>r|u2>oo|m>m
bee b>b|i1>ee
beef b>b|i1>ee|f>f
beehive b>b|i1>ee|h>h|AI2>i|v>ve
beet b>b|i1>ee|t>t
beetle b>b|i1>ee|t>t|V0;l>le
beggar b>b|E1>e|g>gg|r=0>ar
beginning b>b|I0>e|g>g|I1>i|n>nn|I0>i|N>ng
beijing b>b|EI2>ei|Z>j|I1>i|N>ng
belgium b>b|E1>e|l>l|dZ>gi|V0>u|m>m
belief b>b|I0>e|l>l|i1>ie|f>f
bell b>b|E1>e|l>ll
bellboy b>b|E1>e|l>ll|b>b|OI2>oy
belly b>b|E1>e|l>ll|i0>y
belt b>b|E1>e|l>l|t>t
ben b>b|E1>e|n>n
bench b>b|E1>e|n>n|tS>ch
benefit b>b|E1>e|n>n|E0>e|f>f|I0>i|t>t
bengal b>b|E1>e|n>n|g>g|V0>a|l>l
benjamin b>b|E1>e|n>n|dZ>j|V0>a|m>m|I0>i|n>n
bento b>b|E1>e|n>n|t>t|@U0>o
beret b>b|E1>e|r>r|E0>e|t>t
berlin b>b|r=0>er|l>l|I1>i|n>n
bernard b>b|r=1>er|n>n|r=0>ar|d>d
berry b>b|E1>e|r>rr|i0>y
bert b>b|r=1>er|t>t
bet b>b|E1>e|t>t
beth b>b|E1>e|T>th
betty b>b|E1>e|t>tt|i0>y
beverage b>b|E1>e|v>v|r=0>er|V0>a|dZ>ge
bias b>b|AI1>i|V0>a|s>s
bible b>b|AI1>i|b>b|V0;l>le
bicycle b>b|AI1>i|s>c|I0>y|k>c|V0;l>le
bid b>b|I1>i|d>d
bigfoot b>b|I1>i|g>g|f>f|U2>oo|t>t
bike b>b|AI1>i|k>ke
bill b>b|I1>i|l>ll
billfold b>b|I1>i|l>ll|f>f|@U2>o|l>l|d>d
billiard b>b|I1>i|l>ll|j>i|r=0>ar|d>d
billy b>b|I1>i|l>ll|i0>y
bin b>b|I1>i|n>n
binder b>b|AI1>i|n>n|d>d|r=0>er
binding b>b|AI1>i|n>n|d>d|I0>i|N>ng
binocular b>b|I0>i|n>n|A1>o|k>c|j;V0>u|l>l|r=0>ar
binoculars b>b|I0>i|n>n|A1>o|k>c|j;V0>u|l>l|r=0>ar|z>s
biologist b>b|AI0>i|A1>o|l>l|V0>o|dZ>g|I0>i|s>s|t>t
biology b>b|AI0>i|A1>o|l>l|V0>o|dZ>g|i0>y
birch b>b|r=1>ir|tS>ch
bird b>b|r=1>ir|d>d
birdhouse b>b|r=1>ir|d>d|h>h|aU2>ou|s>se
birdofprey b>b|r=1>ir|d>d|V2>o|v>f|p>p|r>r|EI2>ey
birth b>b|r=1>ir|T>th
birthday b>b|r=1>ir|T>th|d>d|EI2>ay
biscuit b>b|I1>i|s>s|k>c|I0>ui|t>t
bishop b>b|I1>i|S>sh|V0>o|p>p
bison b>b|AI1>i|s>s|V0>o|n>n
bit b>b|I1>i|t>t
blackberry b>b|l>l|{1>a|k>ck|b>b|E2>e|r>rr|i0>y
blackboard b>b|l>l|{1>a|k>ck|b>b|O2>oa|r>r|d>d
blacksmith b>b|l>l|{1>a|k>ck|s>s|m>m|I2>i|T>th
bladder b>b|l>l|{1>a|d>dd|r=0>er
blade b>b|l>l|EI1>a|d>de
blame b>b|l>l|EI1>a|m>me
blank b>b|l>l|{1>a|n>n|k>k
blanket b>b|l>l|{1>a|n>n|k>k|E0>e|t>t
blast b>b|l>l|{1>a|s>s|t>t
blaster b>b|l>l|{1>a|s>s|t>t|r=0>er
blazer b>b|l>l|EI1>a|z>z|r=0>er
bleach b>b|l>l|i1>ea|tS>ch
blend b>b|l>l|E1>e|n>n|d>d
blender b>b|l>l|E1>e|n>n|d>d|r=0>er
blessing b>b|l>l|E1>e|s>ss|I0>i|N>ng
blimp b>b|l>l|I1>i|m>m|p>p
bliss b>b|l>l|I1>i|s>ss
block b>b|l>l|A1>o|k>ck
blood b>b|l>l|V1>oo|d>d
bloom b>b|l>l|u1>oo|m>m
blouse b>b|l>l|aU1>ou|s>se
blow b>b|l>l|@U1>ow
blowup b>b|l>l|@U1>ow|V2>u|p>p
blueberry b>b|l>l|u1>ue|b>b|E2>e|r>rr|i0>y
blur b>b|l>l|r=1>ur
blush b>b|l>l|V1>u|S>sh
boar b>b|O1>oa|r>r
board b>b|O1>oa|r>r|d>d
boat b>b|@U1>oa|t>t
bob b>b|A1>o|b>b
bobby b>b|A1>o|b>bb|i0>y
body b>b|A1>o|d>d|i0>y
bodyguard b>b|A1>o|d>d|i0>y|g>g|A2>ua|r>r|d>d
bodyofwater b>b|A1>o|d>d|i0>y|V2>o|v>f|w>w|O1>a|t>t|r=0>er
bodypart b>b|A1>o|d>d|i0>y|p>p|A2>a|r>r|t>t
boeing b>b|@U1>oe|I0>i|N>ng
boil b>b|OI1>oi|l>l
boiler b>b|OI1>oi|l>l|r=0>er
bolid b>b|O1>o|l>l|i0>i|d>d
bolt b>b|@U1>o|l>l|t>t
bomb b>b|A1>o|m>mb
bombay b>b|A0>o|m>m|b>b|EI1>ay
bomber b>b|A1>o|m>mb|r=0>er
bond b>b|A1>o|n>n|d>d
bone b>b|@U1>o|n>ne
bonfire b>b|A1>o|n>n|f>f|AI2>i|r=0>re
book b>b|U1>oo|k>k
bookshelf b>b|U1>oo|k>k|S>sh|E2>e|l>l|f>f
boom b>b|u1>oo|m>m
boomerang b>b|u1>oo|m>m|r=0>er|{2>a|N>ng
boost b>b|u1>oo|s>s|t>t
booster b>b|u1>oo|s>s|t>t|r=0>er
boot b>b|u1>oo|t>t
booth b>b|u1>oo|T>th
boots b>b|u1>oo|t>t|s>s
border b>b|O1>o|r>r|d>d|r=0>er
boston b>b|A1>o|s>s|t>t|V0>o|n>n
bottle b>b|A1>o|t>tt|V0;l>le
bottom b>b|A1>o|t>tt|V0>o|m>m
boulder b>b|@U1>ou|l>l|d>d|r=0>er
bouquet b>b|u0>ou|k;EI1>quet
boutique b>b|u0>ou|t>t|i1>i|k>que
bovine b>b|@U1>o|v>v|AI2>i|n>ne
bow b>b|@U1>ow
bowel b>b|aU1>ow|E0>e|l>l
bowknot b>b|@U1>ow|n>kn|A2>o|t>t
bowl b>b|@U1>ow|l>l
bowtie b>b|@U1>ow|t>t|AI2>ie
box b>b|A1>o|k;s>x
boxer b>b|A1>o|k;s>x|r=0>er
boxing b>b|A1>o|k;s>x|I0>i|N>ng
boy b>b|OI1>oy
boyscout b>b|OI1>oy|s>s|k>c|aU2>ou|t>t
brace b>b|r>r|EI1>a|s>ce
brad b>b|r>r|{1>a|d>d
braid b>b|r>r|EI1>ai|d>d
brain b>b|r>r|EI1>ai|n>n
brake b>b|r>r|EI1>a|k>ke
bramble b>b|r>r|{1>a|m>m|b>b|V0;l>le
branch b>b|r>r|{1>a|n>n|tS>ch
brand b>b|r>r|{1>a|n>n|d>d
brandon b>b|r>r|{1>a|n>n|d>d|V0>o|n>n
brass b>b|r>r|{1>a|s>ss
brazil b>b|r>r|V0>a|z>z|I1>i|l>l
bread b>b|r>r|E1>ea|d>d
break b>b|r>re|EI1>a|k>k
breakfast b>b|r>r|E1>ea|k>k|f>f|V0>a|s>s|t>t
breast b>b|r>r|E1>ea|s>s|t>t
breath b>b|r>r|E1>ea|T>th
breeze b>b|r>r|i1>ee|z>ze
brian b>b|r>r|AI1>i|V0>a|n>n
brick b>b|r>r|I1>i|k>ck
bride b>b|r>r|AI1>i|d>de
bridge b>b|r>r|I1>i|dZ>dge
briefcase b>b|r>r|i1>ie|f>f|k>c|EI2>a|s>se
brig b>b|r>r|I1>i|g>g
bristol b>b|r>r|I1>i|s>s|t>t|V0>o|l>l
britain b>b|r>r|I1>i|t>t|V0>ai|n>n
broadcast b>b|r>r|O1>oa|d>d|k>c|{2>a|s>s|t>t
broadway b>b|r>r|O1>oa|d>d|w>w|EI2>ay
broccoli b>b|r>r|A1>o|k>cc|V0>o|l>l|i0>i
brontosaur b>b|r>r|O2>o|n>n|t>t|V0>o|s>s|O1>au|r>r
brontosaurus b>b|r>r|O2>o|n>n|t>t|V0>o|s>s|O1>au|r>r|V0>u|s>s
bronze b>b|r>r|A1>o|n>n|z>ze
brook b>b|r>r|U1>oo|k>k
